"date","geography","geography code","Method of travel to work: All categories: Method of travel to work (2001 specification); measures: Value","Method of travel to work: Work mainly at or from home; measures: Value","Method of travel to work: Underground, metro, light rail or tram; measures: Value","Method of travel to work: Train; measures: Value","Method of travel to work: Bus, minibus or coach; measures: Value","Method of travel to work: Taxi; measures: Value","Method of travel to work: Motorcycle, scooter or moped; measures: Value","Method of travel to work: Driving a car or van; measures: Value","Method of travel to work: Passenger in a car or van; measures: Value","Method of travel to work: Bicycle; measures: Value","Method of travel to work: On foot; measures: Value","Method of travel to work: Other method of travel to work; measures: Value"
"2011","Guildford","E07000209",77684,9154,209,5085,2718,147,626,46584,2998,1898,7958,307
"2011","Mole Valley","E07000210",46437,6784,202,3099,817,88,298,28874,1779,810,3509,177
"2011","Reigate and Banstead","E07000211",67831,8477,347,4648,2592,291,450,41418,2615,1024,5746,223
"2011","Runnymede","E07000212",49802,4809,341,2877,1339,110,374,33679,1657,1120,3295,201
"2011","Spelthorne","E07000213",41012,4808,455,2125,2396,110,403,25382,1512,1004,2653,164
"2011","Surrey Heath","E07000214",43918,6184,106,1210,1379,66,265,28484,1979,884,3041,320
"2011","Tandridge","E07000215",33114,6448,142,1771,1007,130,199,19358,1397,298,2222,142
"2011","Waverley","E07000216",52153,9954,118,1758,937,69,334,31143,2328,793,4476,243
"2011","Woking","E07000217",44230,5842,227,3532,1284,149,349,25596,1770,1253,4067,161
"2011","Adur","E07000223",22179,2991,21,854,878,67,251,12739,1148,960,2155,115
"2011","Arun","E07000224",49092,8436,40,1113,1066,183,357,27276,2677,2179,5543,222
"2011","Chichester","E07000225",61226,8724,60,2113,1690,149,461,36310,3126,2259,6107,227
"2011","Crawley","E07000226",79370,3682,376,5607,6315,293,527,52534,3282,1641,4795,318
"2011","Horsham","E07000227",56174,9683,60,1382,1126,59,324,33668,2992,1019,5673,188
"2011","Mid Sussex","E07000228",60745,9458,65,2890,1213,210,356,35631,2812,883,7006,221
"2011","Worthing","E07000229",49415,5271,29,2028,1883,155,412,27727,2546,2499,6722,143
"2011","Bath and North East Somerset","E06000022",89861,10624,459,3337,5486,197,925,48096,4058,2655,13737,287
"2011","Bournemouth","E06000028",81141,9111,33,951,7427,280,834,44443,3708,3744,10283,327
"2011","Bristol, City of","E06000023",236098,17841,188,7140,22066,572,2948,120430,11195,15094,37811,813
"2011","Cornwall","E06000052",235859,38596,151,1872,5446,651,2559,140840,12325,3517,28637,1265
"2011","Isles of Scilly","E06000053",1299,428,0,2,5,1,32,219,21,189,366,36
"2011","North Somerset","E06000024",83584,11734,42,649,2345,331,769,52444,4301,2362,8329,278
"2011","Plymouth","E06000026",121963,7898,36,1203,13124,728,2253,69494,6714,3099,16444,970
"2011","Poole","E06000029",78847,7451,73,1076,4163,161,1144,49206,4249,3729,7313,282
"2011","South Gloucestershire","E06000025",141998,12787,187,2294,5780,226,1802,94799,6900,5980,10887,356
"2011","Swindon","E06000030",108642,8849,83,1875,8765,440,1073,66426,6346,4396,10044,345
"2011","Torbay","E06000027",52544,6853,18,249,2269,307,693,29879,3027,768,8266,215
"2011","Wiltshire","E06000054",222448,32701,111,2380,5983,515,1739,132783,11233,6576,27437,990
"2011","East Devon","E07000040",53997,10081,28,603,1351,156,538,30076,2574,1183,6897,510
"2011","Exeter","E07000041",83220,4825,46,2551,6550,204,1080,46860,4367,3927,12607,203
"2011","Mid Devon","E07000042",30331,6773,11,115,554,39,228,16526,1455,599,3894,137
"2011","North Devon","E07000043",47704,7582,27,85,1730,125,459,26154,2388,1542,7411,201
"2011","South Hams","E07000044",43382,7824,22,270,1279,74,635,24968,2233,601,5102,374
"2011","Teignbridge","E07000045",50050,8611,25,611,1203,115,593,29414,2747,778,5796,157
"2011","Torridge","E07000046",24610,5830,8,51,588,66,208,12944,1223,310,3263,119
"2011","West Devon","E07000047",21560,5245,7,49,375,84,150,11626,931,238,2746,109
"2011","Christchurch","E07000048",20702,2530,9,155,689,53,281,13381,945,1081,1513,65
"2011","East Dorset","E07000049",33977,5926,26,80,493,38,383,22619,1554,923,1810,125
"2011","North Dorset","E07000050",30265,5280,19,184,280,41,215,17754,1386,625,4321,160
"2011","Purbeck","E07000051",20220,3125,9,253,239,35,272,12219,991,616,2320,141
"2011","West Dorset","E07000052",52101,8174,19,454,1132,146,514,30608,2629,1283,6915,227
"2011","Weymouth and Portland","E07000053",21283,2987,18,180,1702,89,296,10378,1118,708,3670,137
"2011","Cheltenham","E07000078",63483,6074,77,511,3997,104,566,34692,3105,3762,10422,173
"2011","Cotswold","E07000079",43391,7995,74,232,592,70,316,26252,2146,898,4638,178
"2011","Forest of Dean","E07000080",30458,5459,9,89,499,28,222,18976,1747,418,2860,151
"2011","Gloucester","E07000081",63844,4379,35,525,4741,114,614,40617,3234,2869,6559,157
"2011","Stroud","E07000082",50092,8194,25,260,1022,67,460,31584,2748,1144,4423,165
"2011","Tewkesbury","E07000083",46180,5205,53,260,1534,34,450,30820,2226,1964,3490,144
"2011","Mendip","E07000187",49267,8580,35,180,743,97,354,29316,2414,1128,6241,179
"2011","Sedgemoor","E07000188",46639,7155,13,201,598,96,457,28044,2586,2342,4990,157
"2011","South Somerset","E07000189",77724,10536,36,233,1012,125,788,48359,4016,2205,10142,272
"2011","Taunton Deane","E07000190",59898,6661,41,389,1591,97,687,35610,3186,3423,7993,220
"2011","West Somerset","E07000191",14929,3885,9,26,298,28,94,7282,638,407,2198,64
"2011","Isle of Anglesey","W06000001",24405,4026,7,121,578,90,176,15131,1498,400,2247,131
"2011","Gwynedd","W06000002",57626,8546,16,344,2545,118,264,34999,3215,671,6680,228
"2011","Conwy","W06000003",45201,6743,12,403,1975,219,234,27376,2595,610,4830,204
"2011","Denbighshire","W06000004",41357,5136,13,264,1389,247,206,26375,2616,624,4328,159
"2011","Flintshire","W06000005",72020,6577,23,378,2207,305,553,50357,4994,1383,4984,259
"2011","Wrexham","W06000006",60837,5324,25,384,3203,411,392,40118,4807,805,5174,194
"2011","Powys","W06000023",60142,13621,23,218,627,116,218,34216,2943,853,7023,284
"2011","Ceredigion","W06000008",32426,6780,14,107,886,97,142,18173,1624,365,4109,129
"2011","Pembrokeshire","W06000009",52951,9395,17,148,1567,189,332,32199,3280,411,5137,276
"2011","Carmarthenshire","W06000010",73870,11630,22,402,1527,196,396,47746,4999,604,6068,280
"2011","Swansea","W06000011",110469,8228,59,1090,6171,624,663,73732,8043,1496,9951,412
"2011","Neath Port Talbot","W06000012",51434,4081,12,381,1514,288,368,35642,3970,713,4300,165
"2011","Bridgend","W06000013",60466,4813,22,816,1737,340,314,42383,4464,527,4854,196
"2011","Vale of Glamorgan","W06000014",45574,5886,25,762,1370,227,245,28843,2630,661,4663,262
"2011","Cardiff","W06000015",199702,11998,173,13964,17300,745,935,113563,10538,6107,23747,632
"2011","Rhondda Cynon Taff","W06000016",82073,6778,35,1881,3113,197,314,55201,6424,424,7421,285
"2011","Merthyr Tydfil","W06000024",24856,1680,11,252,1685,217,76,15915,2557,73,2306,84
"2011","Caerphilly","W06000018",58647,5347,33,736,2210,271,300,39388,4649,382,5144,187
"2011","Blaenau Gwent","W06000019",22021,1660,15,66,637,135,105,14691,2057,132,2448,75
"2011","Torfaen","W06000020",38863,2582,11,208,1766,289,217,27376,2984,349,2987,94
"2011","Monmouthshire","W06000021",38064,6619,16,179,555,95,231,23784,2300,399,3739,147
"2011","Newport","W06000022",73360,4728,33,709,5290,432,484,49571,5265,941,5686,221
